USSA > Wed Jul  9 10:42:19 | NOTICE  | reason=[1], oldCh->newCh=[36]->[56], oldBw->newBw=[80MHz]->[80MHz], oldTxPower->newTxPower=[18.000000]->[18.000000]
USSA > Wed Jul  9 10:43:45 | NOTICE  | reported client=[2e:55:b9:42:06:8a] assoc on vap=[rai4]
USSA > Wed Jul  9 10:43:46 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] disassoc on vap=[ra0], reason code=[1]
USSA > Wed Jul  9 10:44:06 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai4], reason code=[1]
USSA > Wed Jul  9 10:44:20 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai4]
USSA > Wed Jul  9 10:45:36 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai4], reason code=[1]
USSA > Wed Jul  9 10:45:46 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai4]
USSA > Wed Jul  9 10:46:44 | NOTICE  | reason=[1], oldCh->newCh=[56]->[161], oldBw->newBw=[80MHz]->[80MHz], oldTxPower->newTxPower=[18.000000]->[18.000000]
USSA > Wed Jul  9 10:46:45 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] disassoc on vap=[ra0], reason code=[1]
USSA > Wed Jul  9 10:46:45 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] assoc on vap=[ra0]
USSA > Wed Jul  9 10:47:51 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] disassoc on vap=[ra0], reason code=[1]
USSA > Wed Jul  9 10:47:51 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] disassoc on vap=[rai0], reason code=[1]
USSA > Wed Jul  9 10:47:51 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] assoc on vap=[rai0]
USSA > Wed Jul  9 10:55:36 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai4], reason code=[1]
USSA > Wed Jul  9 10:55:36 | NOTICE  | reported client=[2e:55:b9:42:06:8a] disassoc on vap=[rai4], reason code=[1]
USSA > Wed Jul  9 11:06:09 | NOTICE  | reported client=[d6:99:0f:58:6c:79] disassoc on vap=[rai0], reason code=[1]
USSA > Wed Jul  9 11:06:09 | NOTICE  | reported client=[d6:99:0f:58:6c:79] assoc on vap=[rai0]
USSA > Wed Jul  9 11:38:33 | NOTICE  | reported client=[d6:99:0f:58:6c:79] disassoc on vap=[rai0], reason code=[1]
USSA > Wed Jul  9 11:38:33 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] disassoc on vap=[rai0], reason code=[1]
USSA > Wed Jul  9 11:38:42 | NOTICE  | reason=[1], oldCh->newCh=[161]->[40], oldBw->newBw=[80MHz]->[80MHz], oldTxPower->newTxPower=[18.000000]->[18.000000]
USSA > Wed Jul  9 11:38:46 | NOTICE  | reported client=[d6:99:0f:58:6c:79] disassoc on vap=[rai0], reason code=[1]
USSA > Wed Jul  9 11:38:47 | NOTICE  | reported client=[d6:99:0f:58:6c:79] assoc on vap=[rai0]
USSA > Wed Jul  9 11:38:47 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] assoc on vap=[rai0]
USSA > Wed Jul  9 11:38:49 | NOTICE  | reported client=[2e:55:b9:42:06:8a] assoc on vap=[rai4]
USSA > Wed Jul  9 11:38:50 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai4]
USSA > Wed Jul  9 11:38:54 | NOTICE  | reported client=[2e:55:b9:42:06:8a] disassoc on vap=[rai4], reason code=[1]
USSA > Wed Jul  9 11:38:57 | NOTICE  | reported client=[2e:55:b9:42:06:8a] assoc on vap=[rai4]
USSA > Wed Jul  9 11:38:59 | NOTICE  | reported client=[2e:55:b9:42:06:8a] disassoc on vap=[rai4], reason code=[1]
USSA > Wed Jul  9 11:38:59 | NOTICE  | skipped client=[2e:55:b9:42:06:8a] disassoc on vap=[rai4], reason code=[1]
USSA > Wed Jul  9 11:39:05 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai4], reason code=[1]
USSA > Wed Jul  9 11:39:09 | NOTICE  | reported client=[2e:55:b9:42:06:8a] assoc on vap=[rai4]
USSA > Wed Jul  9 11:39:09 | NOTICE  | skipped client=[2e:55:b9:42:06:8a] assoc on vap=[rai4]
USSA > Wed Jul  9 11:39:13 | NOTICE  | reported client=[2e:55:b9:42:06:8a] disassoc on vap=[rai4], reason code=[1]
USSA > Wed Jul  9 11:39:13 | NOTICE  | skipped client=[2e:55:b9:42:06:8a] disassoc on vap=[rai4], reason code=[1]
USSA > Wed Jul  9 11:39:29 | NOTICE  | reported client=[2e:55:b9:42:06:8a] assoc on vap=[rai4]
USSA > Wed Jul  9 11:39:29 | NOTICE  | skipped client=[2e:55:b9:42:06:8a] assoc on vap=[rai4]
USSA > Wed Jul  9 11:39:31 | NOTICE  | reported client=[2e:55:b9:42:06:8a] disassoc on vap=[rai4], reason code=[1]
USSA > Wed Jul  9 11:39:31 | NOTICE  | skipped client=[2e:55:b9:42:06:8a] disassoc on vap=[rai4], reason code=[1]
USSA > Wed Jul  9 11:39:45 | NOTICE  | reported client=[2e:55:b9:42:06:8a] assoc on vap=[rai4]
